,word,sentence,ada_sense,cluster,ada_label,elmo_label
381,звезда,"Все знают причины , от которых жизнь превращается в морскую звезду .",0,2.0,1,0
460,звезда,"Ах , молодость , молодость -- звезда падучая , поэтическая судьба того падучей .",0,2.0,1,0
343,звезда,"Был также награждён тремя орденами Красного Знамени, орденами Отечественной войны 1-й степени, Красной Звезды, ``За службу Родине в ВС СССР&#39;&#39; 3-й степени, рядом медалей.",0,2.0,1,0
434,звезда,"Она , должно быть , воображала себя звездой "" Голубого огонька "" и охотно делилась мыслями о личном футуруме .",0,2.0,1,0
456,звезда,"Повсюду горели церковные свечи , на полу была начерчена большая звезда .",0,2.0,1,0
372,звезда,"Причем звезда на башне не рубиновая, а жестяная или слепленная из пластмассы.",2,3.0,0,1
458,звезда,-- Вот звезда Соломона .,2,2.0,0,0
386,звезда,Эти звезды у него в глазах .,2,3.0,0,1
438,звезда,"Вчера стало известно , что суд над звездой начнётся 8 февраля .",2,2.0,0,0
451,звезда,Звёзды на полосах - 1,2,3.0,0,1
672,клетка,"Посадила героя чеченской войны Буданова в клетку , и сама же даёт рекомендации мнимо-патриотическим партиям , расщепляющим блок коммунистов , бороться за освобождение Буданова , привлекая симпатии оскорблённого народа .",2,1.0,1,0
650,клетка,"( Несколько веков назад сперматозоид считался не половой клеткой , а паразитом , обитающим в сперме .)",2,2.0,0,1
617,клетка,"Это живое создание со своими клетками, обменом веществ и нервной системой.",2,2.0,0,1
643,клетка,На поверхности клетки может разместиться относительно немного нервных окончаний .,2,2.0,0,1
648,клетка,"Удивительно даже , на какую глубину была похоронена детская любовь : многие годы Катя совсем не вспоминала ни о нём , ни о честной немецкой вещице , пригодной для изучения клеток кожицы лука и лапок блохи ...",2,1.0,0,0
633,клетка,"По приказу с базы клетка была огорожена второй раз листами железа , которые заслоняли зверей от чужих глаз .",4,1.0,0,0
651,клетка,"И -- состав для биодермабразии , который размягчает кожу и оптимизирует процесс деления клеток кожи .",4,2.0,1,1
671,клетка,"Полковника Буданова , героя Чеченской войны , пытали два года на глазах у народа , отменяя приговоры , назначая экспертизы , доводя до самоубийства , пока не посадили в железную клетку .",4,1.0,0,0
630,клетка,"Если сгустков образуется немного, то они быстро растворятся под действием ферментов, вырабатываемых клетками сосудистой стенки.",4,2.0,1,1
625,клетка,"Возможно, что формирование альтернативного зрения достигается за счет прямой активации клеток мозга факторами внешней среды.",4,2.0,1,0
108,лист,Он потоптал ногой жёлтый разлапый кленовый лист и повторил : -- А мне всё равно .,2,2.0,0,0
48,лист,"Так вот , чтобы заживить порез или рану , следует разрезать кусочек листа алоэ и приложить этим разрезом к ране .",2,2.0,0,0
3,лист,"Кусты рябины в садике, желтые листья по осени; летающая, льнущая к лицу паутина.",2,2.0,0,0
125,лист,Очень интересные композиции можно составить из хост с разной окраской листьев .,2,2.0,0,0
12,лист,"Какой Бах, какой Моцарт варьирует тему листа настурции?",2,2.0,0,0
38,лист,"Она рисовала , лежа на диване , на листе обычной писчей бумаги .",5,2.0,0,0
154,лист,"Кстати , в ста граммах листьев коки содержание кальция , фосфора , железа и витаминов A , B 2 , E превышает норму суточной потребности .",5,1.0,1,1
22,лист,Листья растения помогли проповеднику трудиться днем и ночью многие годы.,5,1.0,1,1
114,лист,"В другом углу сада собирала в мешок жёлтые листья старая женщина в сером ватнике , валенках и сером платке .",5,2.0,1,0
6,лист,"Осенью деревья теряли листья, готовясь к зиме, а зимой костенели и мерзли, стуча обглоданными ветками, жалуясь на бездолье; грачиные гнезда их угнетали, черными шапками топорщась на стыках ветвей.",5,2.0,1,0
251,номер,"Вручил ему последний номер газеты "" Известия "".",4,2.0,1,0
308,номер,"Тут гаишник включает рацию и так серьёзно запрашивает : "" База , это семнадцатый , пробейте по компьютеру , не числится ли в угоне машина с таким-то номером "".",4,2.0,1,0
278,номер,""" Постановочная фотография романа ""-- так могла называться рецензия на этот номер .",4,2.0,1,0
239,номер,"Портье успокоил , сказал , что номер зарезервирован .",4,1.0,1,1
187,номер,А самый большой номер оказался у Леллы Ломбарди на Гран-при Великобритании в 1974 году.,4,2.0,1,0
614,среда,Линейные вихри в трехмерной упорядоченной джозефсоновской среде,1,2.0,1,1
471,среда,В настоящее время гипотеза Редонди в среде историков считается бездоказательной и не обсуждается.,1,3.0,1,1
502,среда,"- Это обязательно надо делать, потому что идет интенсивное загрязнение окружающей среды.",1,2.0,1,1
535,среда,-- Нет ли трёшки до среды ? -- поинтересовался Монтан .,1,3.0,1,1
469,среда,"Однако, рассказывая об этом, Мариэтта Омаровна, по-моему, не совсем точно уловила специфику той экономической среды, в которую окунулся Гайдар, поступив на экономический факультет МГУ.",1,2.0,1,1
